id,title,type,tier,description,synopsis,actors,directors,genre,subGenre,imageUrl,duration,url,seasons,n_episode,api_url
77642,Dishdogz,movie,premium,"A coming of age story about a teenager working at an extreme sports camp as a dishwasher and his relationship with the chef, who we come to find out was a skateboarding pioneer back in the day. Set at a fully operational extreme sports camp in Temecula, CA called Point X Camp.","A coming of age story about a teenager working at an extreme sports camp as a dishwasher and his relationship with the chef, who we come to find out was a skateboarding pioneer back in the day. Set at a fully operational extreme sports camp in Temecula, CA called Point X Camp.","Haylie Duff,Luke Perry,Marshall Allman",Mikey Hilb,Action and Adventure,Drama,https://iflix-images.akamaized.net/59e451a1e4b0d086844cc357-1531121912493_s_200x300,5413.695,https://piay.iflix.com/movies/dishdogz-77642,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.77642.json
220269,Best Of The Best 3,movie,free,A martial arts instructor comes to the defense of a schoolteacher who has taken a stand against a local white supremacist organization.,A martial arts instructor comes to the defense of a schoolteacher who has taken a stand against a local white supremacist organization.,"Phillip Rhee,Christopher McDonald,Gina Gershon",Philip Rhee,Action and Adventure,Drama,https://iflix-images.akamaized.net/5d085d92e4b0bda0b42f7419-1560829331801_s_200x300,5227.199,https://piay.iflix.com/movies/best-of-the-best-3-220269,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.220269.json
220316,Best Of The Best,movie,free,"Learning the value of teamwork, the racially diverse U.S. karate team must work through their personal troubles to successfully participate in the upcoming international competitionKarate, the ancient martial art and modern international sport is a contest of body, mind and spirit where often the toughest competition is yourself.","Learning the value of teamwork, the racially diverse U.S. karate team must work through their personal troubles to successfully participate in the upcoming international competitionKarate, the ancient martial art and modern international sport is a contest of body, mind and spirit where often the toughest competition is yourself.","Eric Roberts,James Earl Jones,Sally Kirkland",Bob Radler,Action and Adventure,"Drama,Sports",https://iflix-images.akamaized.net/5d09b14de4b070ca09cba347-1560916303100_s_200x300,5606.399,https://piay.iflix.com/movies/best-of-the-best-220316,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.220316.json
220317,Best Of The Best 2,movie,free,"In Best of the Best 2, Alex Grady and his partner Tommy Lee turned their karate talents towards crime fighting. An illegal fighting club, headed by Wayne Newton, is a center for crime and criminals. Alex and Tommy decide to take it down but into to do that they have to fight their way through Brakus, the big evil, and his growth protein engorged posse.","In Best of the Best 2, Alex Grady and his partner Tommy Lee turned their karate talents towards crime fighting. An illegal fighting club, headed by Wayne Newton, is a center for crime and criminals. Alex and Tommy decide to take it down but into to do that they have to fight their way through Brakus, the big evil, and his growth protein engorged posse.","Eric Roberts,Phillip Rhee,Chris Penn",Bob Radler,Action and Adventure,"Drama,Sports",https://iflix-images.akamaized.net/5d09b1dde4b0df914be876d7-1560916447883_s_200x300,5853.738,https://piay.iflix.com/movies/best-of-the-best-2-220317,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.220317.json
47513,Bukit Kepong,movie,premium,"Based on the true story about the hard-fought battle between the police force and the locals against the communists at Bukit Kepong in the year 1950. The battle reaches its climax on 23 February at the Bukit Kepong police station, which has only 18 members when they are attacked by 180 violent communists. Directed by Jins Shamsudin, ""Bukit Kepong"" won the Best Film Award in the 3rd Malaysian Film Festival in 1982.",Kisah benar pertarungan maut antara polis serta penduduk kampong melawan anggota komunis pada tahun 1950. Kemuncak peperangan berlaku pada 23 Februari di Balai Polis Kepong di mana 18 ahli pasukan terpaksa menahan serangan 180 ahli komunis. Filem arahan Jins Shamsuddin ini telah dianugerahkan Filem Terbaik pada Festival Filem Malaysia ketiga pada tahun 1982.,"Jins Shamsudin,Hussein Abu Hassan,Dato’ Yusof Haslam,A. Rahim",Jins Shamsudin,Action and Adventure,Drama,https://iflix-images.akamaized.net/58abecb4e4b0c76d9c774c4d-1530155929959_s_200x300,6872.063,https://piay.iflix.com/movies/bukit-kepong-47513,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.47513.json
49632,Borealis,movie,free,"In 2045, a retired fighter working as a government agent opens a bar in a tiny town where several international interests vie for control.","In 2045, a retired fighter working as a government agent opens a bar in a tiny town where several international interests vie for control.","Ty Olsson,Michelle Harrison,Bryan Dick",David Frazee,Action and Adventure,Sci-Fi,https://iflix-images.akamaized.net/58a6563de4b0896f98bf2cd2-1531989422527_s_200x300,5295.85,https://piay.iflix.com/movies/borealis-49632,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.49632.json
127397,Blonde And Blonder,movie,free,"Two beautiful women, Dee and Dawn, are mistaken for international killers.","Two beautiful women, Dee and Dawn, are mistaken for international killers.","Pamela Anderson,Denise Richards",,Action and Adventure,Comedy,https://iflix-images.akamaized.net/5bd17c55e4b006f4af7dc053-1540455510515_s_200x300,5481.898,https://piay.iflix.com/movies/blonde-and-blonder-127397,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.127397.json
46050,Big Time,movie,premium,"Danny and Jonas are two petty crooks who dream of moving into the big scene. When their carefully-planned kidnapping goes askew, Danny and Jonas find themselves in a tangle neither of them can handle.","Danny and Jonas are two petty crooks who dream of moving into the big scene. When their carefully-planned kidnapping goes askew, Danny and Jonas find themselves in a tangle neither of them can handle.","Michael De Mesa,Winston Elizalde,Nor Domingo",Mario Cornejo,Action and Adventure,,https://iflix-images.akamaized.net/583ba180e4b07a6bce7ce340-1480302976905_s_200x300,6301.077,https://piay.iflix.com/movies/big-time-46050,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.46050.json
220268,Best Of The Best 4,movie,free,"Tommy Lee (Phillip Rhee) is caught in a harrowing net of Russian mobsters, violence and counterfeiting. Having ""obtained"" the computer disk used by the US Treasury to print money, mobsters hijack a truck containing blank currency paper in order to make the ""real thing"". Tommy suddenly becomes the object of the gangsters furious pursuit after he, unknowingly, is slipped the disk. Willing to stop at nothing to get the disk back, the mobsters kidnap Tommy's daughter. With nowhere to turn and no one to rely on, Tommy must survive deadly seductions, crooked cops, betrayal, motorcycle chases, hi-tech gadgets, bullets and bombs to save his daughter's life.","Tommy Lee (Phillip Rhee) is caught in a harrowing net of Russian mobsters, violence and counterfeiting. Having ""obtained"" the computer disk used by the US Treasury to print money, mobsters hijack a truck containing blank currency paper in order to make the ""real thing"". Tommy suddenly becomes the object of the gangsters furious pursuit after he, unknowingly, is slipped the disk. Willing to stop at nothing to get the disk back, the mobsters kidnap Tommy's daughter. With nowhere to turn and no one to rely on, Tommy must survive deadly seductions, crooked cops, betrayal, motorcycle chases, hi-tech gadgets, bullets and bombs to save his daughter's life.","Phillip Rhee,Ernie Hudson,Tobin Bell",Philip Rhee,Action and Adventure,Drama,https://iflix-images.akamaized.net/5d085c8ce4b0a5c410a799e2-1560829070504_s_200x300,5086.186,https://piay.iflix.com/movies/best-of-the-best-4-220268,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.220268.json
89189,Berserker: Hell's Warrior,movie,premium,"Kari Wührer stars as a witch, who turns the king's son Barek into an immortal berserker. The enmity between Barek and the witch extends to the present day in his attempts to become mortal again and break Odin's curse.","Kari Wührer stars as a witch, who turns the king's son Barek into an immortal berserker. The enmity between Barek and the witch extends to the present day in his attempts to become mortal again and break Odin's curse.","Paul Johansson,Craig Sheffer,Kari Wuhrer",Paul Matthews,Action and Adventure,Fantasy,https://iflix-images.akamaized.net/5a5d67afe4b0d086844da695-1533183916684_s_200x300,5046.591,https://piay.iflix.com/movies/berserker--hell's-warrior-89189,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.89189.json
